HBA,HBD,Ratio,Density_g_cm3,Visc_HoleTheory_cP,Vm_cm3_mol
N4444Br,"1,4_Butanediol",2:1,0.991,80.182,246.27
N4444Br,"1,4_Butanediol",3:1,0.988,133.736,266.5
N4444Br,"1,4_Butanediol",4:1,0.987,186.782,278.64
N4444Br,"1,4_Butanediol",5:1,0.986,235.667,286.73
N4444Br,"1,6_Hexanediol",1:1,0.99,93.763,221.9
N4444Br,"1,6_Hexanediol",1:2,0.995,100.75,186.8
N4444Br,"1,6_Hexanediol",1:3,0.998,139.092,169.25
N4444Br,"1,6_Hexanediol",1:4,1,191.76,158.72
N4444Br,"1,6_Hexanediol",1:5,1.002,253.564,151.7
N4444Br,"1,6_Hexanediol",2:1,0.986,144.808,257
N4444Br,"1,6_Hexanediol",3:1,0.985,204.968,274.55
N4444Br,"1,6_Hexanediol",4:1,0.984,260.838,285.08
N4444Br,"1,6_Hexanediol",5:1,0.984,310,292.1
N4444Br,"2,3_Butanediol",1:1,0.998,28.593,206.1
N4444Br,"2,3_Butanediol",1:2,1.008,19.211,165.73
N4444Br,"2,3_Butanediol",1:3,1.016,21.246,145.55
N4444Br,"2,3_Butanediol",1:4,1.021,26.134,133.44
N4444Br,"2,3_Butanediol",1:5,1.026,32.512,125.37
N4444Br,"2,3_Butanediol",2:1,0.991,68.629,246.47
N4444Br,"2,3_Butanediol",3:1,0.988,119.043,266.65
N4444Br,"2,3_Butanediol",4:1,0.986,170.197,278.76
N4444Br,"2,3_Butanediol",5:1,0.986,218.108,286.83
N4444Br,Citric_Acid,1:1,1.538,37.691,166.85
N4444Br,Citric_Acid,1:2,2.073,22.405,113.4
N4444Br,Citric_Acid,1:3,2.588,23.848,86.68
N4444Br,Citric_Acid,1:4,3.084,31.155,70.64
N4444Br,Citric_Acid,1:5,3.562,44.341,59.95
N4444Br,Citric_Acid,2:1,1.263,91.542,220.3
N4444Br,Citric_Acid,3:1,1.17,152.858,247.03
N4444Br,Citric_Acid,4:1,1.123,211.027,263.06
N4444Br,Citric_Acid,5:1,1.095,262.986,273.75
N4444Br,Dodecanol,1:1,0.926,506.584,273.9
N4444Br,Dodecanol,1:2,0.903,660.965,256.13
N4444Br,Dodecanol,1:3,0.89,839.95,247.25
N4444Br,Dodecanol,1:4,0.881,1008.012,241.92
N4444Br,Dodecanol,1:5,0.876,1158.185,238.37
N4444Br,Dodecanol,2:1,0.947,494.21,291.67
N4444Br,Dodecanol,3:1,0.956,527.305,300.55
N4444Br,Dodecanol,4:1,0.962,560.485,305.88
N4444Br,Dodecanol,5:1,0.965,588.855,309.43
N4444Br,Ethylene_Glycol,1:1,1.01,13.563,189.7
N4444Br,Ethylene_Glycol,1:2,1.032,6.319,143.87
N4444Br,Ethylene_Glycol,1:3,1.049,5.794,120.95
N4444Br,Ethylene_Glycol,1:4,1.062,6.48,107.2
N4444Br,Ethylene_Glycol,1:5,1.073,7.708,98.03
N4444Br,Ethylene_Glycol,2:1,0.997,44.136,235.53
N4444Br,Ethylene_Glycol,3:1,0.992,87.09,258.45
N4444Br,Ethylene_Glycol,4:1,0.99,133.645,272.2
N4444Br,Ethylene_Glycol,5:1,0.988,179.093,281.37
N4444Br,Fructose,1:1,1.337,758.125,187.5
N4444Br,Fructose,1:2,1.611,4192.707,140.93
N4444Br,Fructose,1:3,1.83,24087.822,117.65
N4444Br,Fructose,1:4,2.009,114871.021,103.68
N4444Br,Fructose,1:5,2.157,447245.391,94.37
N4444Br,Fructose,2:1,1.171,459.808,234.07
N4444Br,Fructose,3:1,1.111,460.509,257.35
N4444Br,Fructose,4:1,1.08,487.53,271.32
N4444Br,Fructose,5:1,1.061,516.436,280.63
N4444Br,Glucose,1:1,1.333,413.419,188.05
N4444Br,Glucose,1:2,1.603,1687.335,141.67
N4444Br,Glucose,1:3,1.818,7853.764,118.48
N4444Br,Glucose,1:4,1.992,31827.363,104.56
N4444Br,Glucose,1:5,2.137,108543.076,95.28
N4444Br,Glucose,2:1,1.169,315.917,234.43
N4444Br,Glucose,3:1,1.11,350.199,257.63
N4444Br,Glucose,4:1,1.079,392.848,271.54
N4444Br,Glucose,5:1,1.06,432.074,280.82
N4444Br,Glycerol,1:1,1.064,35.431,194.2
N4444Br,Glycerol,1:2,1.124,31.798,149.87
N4444Br,Glycerol,1:3,1.169,46.892,127.7
N4444Br,Glycerol,1:4,1.205,75.091,114.4
N4444Br,Glycerol,1:5,1.234,118.203,105.53
N4444Br,Glycerol,2:1,1.026,75.004,238.53
N4444Br,Glycerol,3:1,1.012,125.623,260.7
N4444Br,Glycerol,4:1,1.005,176.806,274
N4444Br,Glycerol,5:1,1.001,224.602,282.87
N4444Br,Lactic_Acid,1:1,1.129,8.66,182.1
N4444Br,Lactic_Acid,1:2,1.249,2.626,133.73
N4444Br,Lactic_Acid,1:3,1.349,1.706,109.55
N4444Br,Lactic_Acid,1:4,1.434,1.449,95.04
N4444Br,Lactic_Acid,1:5,1.506,1.382,85.37
N4444Br,Lactic_Acid,2:1,1.059,35.769,230.47
N4444Br,Lactic_Acid,3:1,1.034,76.266,254.65
N4444Br,Lactic_Acid,4:1,1.022,121.443,269.16
N4444Br,Lactic_Acid,5:1,1.014,166.244,278.83
N4444Br,Lauric_Acid,1:1,1.01,162.934,258.1
N4444Br,Lauric_Acid,1:2,1.023,97.357,235.07
N4444Br,Lauric_Acid,1:3,1.031,75.794,223.55
N4444Br,Lauric_Acid,1:4,1.036,65.394,216.64
N4444Br,Lauric_Acid,1:5,1.039,59.338,212.03
N4444Br,Lauric_Acid,2:1,0.999,276.987,281.13
N4444Br,Lauric_Acid,3:1,0.994,362.921,292.65
N4444Br,Lauric_Acid,4:1,0.991,427.392,299.56
N4444Br,Lauric_Acid,5:1,0.99,476.875,304.17
N4444Br,Levulinic_Acid,1:1,1.145,11.505,190.95
N4444Br,Levulinic_Acid,1:2,1.267,3.087,145.53
N4444Br,Levulinic_Acid,1:3,1.362,1.669,122.83
N4444Br,Levulinic_Acid,1:4,1.438,1.178,109.2
N4444Br,Levulinic_Acid,1:5,1.501,0.945,100.12
N4444Br,Levulinic_Acid,2:1,1.07,46.033,236.37
N4444Br,Levulinic_Acid,3:1,1.042,93.716,259.08
N4444Br,Levulinic_Acid,4:1,1.027,144.2,272.7
N4444Br,Levulinic_Acid,5:1,1.019,192.5,281.78
N4444Br,Malic_Acid,1:1,1.334,11.209,170.65
N4444Br,Malic_Acid,1:2,1.658,3.669,118.47
N4444Br,Malic_Acid,1:3,1.957,2.511,92.38
N4444Br,Malic_Acid,1:4,2.235,2.248,76.72
N4444Br,Malic_Acid,1:5,2.493,2.267,66.28
N4444Br,Malic_Acid,2:1,1.161,42.796,222.83
N4444Br,Malic_Acid,3:1,1.102,87.468,248.93
N4444Br,Malic_Acid,4:1,1.073,135.667,264.58
N4444Br,Malic_Acid,5:1,1.055,182.428,275.02
N4444Br,Malonic_Acid,1:1,1.28,5.632,166.15
N4444Br,Malonic_Acid,1:2,1.569,1.307,112.47
N4444Br,Malonic_Acid,1:3,1.849,0.7,85.63
N4444Br,Malonic_Acid,1:4,2.121,0.514,69.52
N4444Br,Malonic_Acid,1:5,2.385,0.438,58.78
N4444Br,Malonic_Acid,2:1,1.132,27.895,219.83
N4444Br,Malonic_Acid,3:1,1.082,63.961,246.68
N4444Br,Malonic_Acid,4:1,1.057,105.958,262.78
N4444Br,Malonic_Acid,5:1,1.042,148.713,273.52
N4444Br,Octanoic_Acid,1:1,1.03,36.238,225.9
N4444Br,Octanoic_Acid,1:2,1.057,13.375,192.13
N4444Br,Octanoic_Acid,1:3,1.075,8.24,175.25
N4444Br,Octanoic_Acid,1:4,1.087,6.197,165.12
N4444Br,Octanoic_Acid,1:5,1.096,5.139,158.37
N4444Br,Octanoic_Acid,2:1,1.01,100.964,259.67
N4444Br,Octanoic_Acid,3:1,1.001,169.89,276.55
N4444Br,Octanoic_Acid,4:1,0.997,232.656,286.68
N4444Br,Octanoic_Acid,5:1,0.994,287.146,293.43
N4444Br,Sorbitol,1:1,1.212,980.68,207.7
N4444Br,Sorbitol,1:2,1.361,9216.621,167.87
N4444Br,Sorbitol,1:3,1.466,69517.196,147.95
N4444Br,Sorbitol,1:4,1.543,362363.637,136
N4444Br,Sorbitol,1:5,1.603,1383885.585,128.03
N4444Br,Sorbitol,2:1,1.11,440.783,247.53
N4444Br,Sorbitol,3:1,1.071,415.446,267.45
N4444Br,Sorbitol,4:1,1.05,434.905,279.4
N4444Br,Sorbitol,5:1,1.037,461.68,287.37
N4444Br,Sucrose,1:1,1.627,290122.344,203.85
N4444Br,Sucrose,1:2,2.059,93043559.313,162.73
N4444Br,Sucrose,1:3,2.37,8597060704.037,142.18
N4444Br,Sucrose,1:4,2.603,295867593890.849,129.84
N4444Br,Sucrose,1:5,2.784,4950111324807.66,121.62
N4444Br,Sucrose,2:1,1.34,11543.804,244.97
N4444Br,Sucrose,3:1,1.229,4141.4,265.53
N4444Br,Sucrose,4:1,1.171,2570.392,277.86
N4444Br,Sucrose,5:1,1.135,1964.82,286.08
N4444Br,Urea,1:1,1.059,5.999,180.05
N4444Br,Urea,1:2,1.123,1.533,131
N4444Br,Urea,1:3,1.177,0.892,106.48
N4444Br,Urea,1:4,1.223,0.699,91.76
N4444Br,Urea,1:5,1.264,0.627,81.95
N4444Br,Urea,2:1,1.022,28.424,229.1
N4444Br,Urea,3:1,1.009,64.452,253.63
N4444Br,Urea,4:1,1.002,106.324,268.34
N4444Br,Urea,5:1,0.998,148.938,278.15
Sodium_Propionate,"1,2_Butanediol",1:1,1.445,2.176,64.4
Sodium_Propionate,"1,2_Butanediol",1:2,1.293,12.144,71.17
Sodium_Propionate,"1,2_Butanediol",1:3,1.228,30.964,74.55
Sodium_Propionate,"1,2_Butanediol",1:4,1.192,55.428,76.58
Sodium_Propionate,"1,2_Butanediol",1:5,1.168,82.361,77.93
Sodium_Propionate,"1,2_Butanediol",2:1,1.632,0.507,57.63
Sodium_Propionate,"1,2_Butanediol",3:1,1.743,0.279,54.25
Sodium_Propionate,"1,2_Butanediol",4:1,1.816,0.205,52.22
Sodium_Propionate,"1,2_Butanediol",5:1,1.868,0.17,50.87
Sodium_Propionate,"1,3_Butanediol",1:1,1.445,2.176,64.4
Sodium_Propionate,"1,3_Butanediol",1:2,1.293,12.144,71.17
Sodium_Propionate,"1,3_Butanediol",1:3,1.228,30.964,74.55
Sodium_Propionate,"1,3_Butanediol",1:4,1.192,55.428,76.58
Sodium_Propionate,"1,3_Butanediol",1:5,1.168,82.361,77.93
Sodium_Propionate,"1,3_Butanediol",2:1,1.632,0.507,57.63
Sodium_Propionate,"1,3_Butanediol",3:1,1.743,0.279,54.25
Sodium_Propionate,"1,3_Butanediol",4:1,1.816,0.205,52.22
Sodium_Propionate,"1,3_Butanediol",5:1,1.868,0.17,50.87
Sodium_Propionate,"1,4_Butanediol",1:1,1.448,2.489,64.25
Sodium_Propionate,"1,4_Butanediol",1:2,1.297,14.538,70.97
Sodium_Propionate,"1,4_Butanediol",1:3,1.232,37.944,74.33
Sodium_Propionate,"1,4_Butanediol",1:4,1.195,68.885,76.34
Sodium_Propionate,"1,4_Butanediol",1:5,1.172,103.327,77.68
Sodium_Propionate,"1,4_Butanediol",2:1,1.634,0.555,57.53
Sodium_Propionate,"1,4_Butanediol",3:1,1.745,0.298,54.18
Sodium_Propionate,"1,4_Butanediol",4:1,1.818,0.216,52.16
Sodium_Propionate,"1,4_Butanediol",5:1,1.87,0.178,50.82
Sodium_Propionate,"1,6_Hexanediol",1:1,1.332,5.802,80.35
Sodium_Propionate,"1,6_Hexanediol",1:2,1.198,42.045,92.43
Sodium_Propionate,"1,6_Hexanediol",1:3,1.143,119.427,98.47
Sodium_Propionate,"1,6_Hexanediol",1:4,1.113,226.498,102.1
Sodium_Propionate,"1,6_Hexanediol",1:5,1.095,348.795,104.52
Sodium_Propionate,"1,6_Hexanediol",2:1,1.514,0.981,68.27
Sodium_Propionate,"1,6_Hexanediol",3:1,1.632,0.451,62.23
Sodium_Propionate,"1,6_Hexanediol",4:1,1.714,0.297,58.6
Sodium_Propionate,"1,6_Hexanediol",5:1,1.775,0.231,56.18
Sodium_Propionate,"2,3_Butanediol",1:1,1.441,1.909,64.55
Sodium_Propionate,"2,3_Butanediol",1:2,1.29,10.19,71.37
Sodium_Propionate,"2,3_Butanediol",1:3,1.224,25.41,74.78
Sodium_Propionate,"2,3_Butanediol",1:4,1.188,44.876,76.82
Sodium_Propionate,"2,3_Butanediol",1:5,1.165,66.084,78.18
Sodium_Propionate,"2,3_Butanediol",2:1,1.629,0.465,57.73
Sodium_Propionate,"2,3_Butanediol",3:1,1.74,0.261,54.33
Sodium_Propionate,"2,3_Butanediol",4:1,1.814,0.194,52.28
Sodium_Propionate,"2,3_Butanediol",5:1,1.866,0.163,50.92
Sodium_Propionate,Citric_Acid,1:1,5.693,6.248,25.3
Sodium_Propionate,Citric_Acid,1:2,8.408,166.662,19.03
Sodium_Propionate,Citric_Acid,1:3,10.568,2276.289,15.9
Sodium_Propionate,Citric_Acid,1:4,12.327,19085.503,14.02
Sodium_Propionate,Citric_Acid,1:5,13.788,111234.453,12.77
Sodium_Propionate,Citric_Acid,2:1,4.056,0.876,31.57
Sodium_Propionate,Citric_Acid,3:1,3.459,0.432,34.7
Sodium_Propionate,Citric_Acid,4:1,3.15,0.3,36.58
Sodium_Propionate,Citric_Acid,5:1,2.961,0.24,37.83
Sodium_Propionate,Ethylene_Glycol,1:1,1.641,0.965,48.15
Sodium_Propionate,Ethylene_Glycol,1:2,1.482,4.532,49.5
Sodium_Propionate,Ethylene_Glycol,1:3,1.406,11.172,50.18
Sodium_Propionate,Ethylene_Glycol,1:4,1.361,19.967,50.58
Sodium_Propionate,Ethylene_Glycol,1:5,1.331,29.878,50.85
Sodium_Propionate,Ethylene_Glycol,2:1,1.81,0.297,46.8
Sodium_Propionate,Ethylene_Glycol,3:1,1.898,0.191,46.12
Sodium_Propionate,Ethylene_Glycol,4:1,1.951,0.154,45.72
Sodium_Propionate,Ethylene_Glycol,5:1,1.988,0.137,45.45
Sodium_Propionate,Fructose,1:1,3.004,2086.509,45.95
Sodium_Propionate,Fructose,1:2,3.265,798372.052,46.57
Sodium_Propionate,Fructose,1:3,3.393,24807543.626,46.87
Sodium_Propionate,Fructose,1:4,3.469,225325008.88,47.06
Sodium_Propionate,Fructose,1:5,3.519,1040999672.987,47.18
Sodium_Propionate,Fructose,2:1,2.736,19.535,45.33
Sodium_Propionate,Fructose,3:1,2.599,3.101,45.03
Sodium_Propionate,Fructose,4:1,2.516,1.209,44.84
Sodium_Propionate,Fructose,5:1,2.461,0.691,44.72
Sodium_Propionate,Glucose,1:1,2.969,778.405,46.5
Sodium_Propionate,Glucose,1:2,3.215,175821.844,47.3
Sodium_Propionate,Glucose,1:3,3.334,4023257.04,47.7
Sodium_Propionate,Glucose,1:4,3.405,29988092.166,47.94
Sodium_Propionate,Glucose,1:5,3.452,120711478.164,48.1
Sodium_Propionate,Glucose,2:1,2.714,11.105,45.7
Sodium_Propionate,Glucose,3:1,2.583,2.097,45.3
Sodium_Propionate,Glucose,4:1,2.504,0.897,45.06
Sodium_Propionate,Glucose,5:1,2.45,0.543,44.9
Sodium_Propionate,Glycerol,1:1,1.786,5.852,52.65
Sodium_Propionate,Glycerol,1:2,1.682,71.362,55.5
Sodium_Propionate,Glycerol,1:3,1.634,293.945,56.93
Sodium_Propionate,Glycerol,1:4,1.607,721.212,57.78
Sodium_Propionate,Glycerol,1:5,1.589,1337.264,58.35
Sodium_Propionate,Glycerol,2:1,1.902,0.794,49.8
Sodium_Propionate,Glycerol,3:1,1.964,0.363,48.38
Sodium_Propionate,Glycerol,4:1,2.004,0.245,47.52
Sodium_Propionate,Glycerol,5:1,2.031,0.195,46.95
Sodium_Propionate,Lactic_Acid,1:1,2.294,0.32,40.55
Sodium_Propionate,Lactic_Acid,1:2,2.338,0.729,39.37
Sodium_Propionate,Lactic_Acid,1:3,2.361,1.204,38.77
Sodium_Propionate,Lactic_Acid,1:4,2.375,1.678,38.42
Sodium_Propionate,Lactic_Acid,1:5,2.384,2.12,38.18
Sodium_Propionate,Lactic_Acid,2:1,2.253,0.176,41.73
Sodium_Propionate,Lactic_Acid,3:1,2.233,0.141,42.33
Sodium_Propionate,Lactic_Acid,4:1,2.222,0.127,42.68
Sodium_Propionate,Lactic_Acid,5:1,2.214,0.119,42.92
Sodium_Propionate,Levulinic_Acid,1:1,2.146,0.194,49.4
Sodium_Propionate,Levulinic_Acid,1:2,2.138,0.247,51.17
Sodium_Propionate,Levulinic_Acid,1:3,2.133,0.279,52.05
Sodium_Propionate,Levulinic_Acid,1:4,2.131,0.3,52.58
Sodium_Propionate,Levulinic_Acid,1:5,2.129,0.315,52.93
Sodium_Propionate,Levulinic_Acid,2:1,2.156,0.153,47.63
Sodium_Propionate,Levulinic_Acid,3:1,2.161,0.137,46.75
Sodium_Propionate,Levulinic_Acid,4:1,2.164,0.128,46.22
Sodium_Propionate,Levulinic_Acid,5:1,2.166,0.122,45.87
Sodium_Propionate,Malic_Acid,1:1,3.953,0.592,29.1
Sodium_Propionate,Malic_Acid,1:2,5.035,2.117,24.1
Sodium_Propionate,Malic_Acid,1:3,5.765,5.159,21.6
Sodium_Propionate,Malic_Acid,1:4,6.29,9.896,20.1
Sodium_Propionate,Malic_Acid,1:5,6.685,16.24,19.1
Sodium_Propionate,Malic_Acid,2:1,3.187,0.255,34.1
Sodium_Propionate,Malic_Acid,3:1,2.883,0.187,36.6
Sodium_Propionate,Malic_Acid,4:1,2.72,0.159,38.1
Sodium_Propionate,Malic_Acid,5:1,2.618,0.144,39.1
Sodium_Propionate,Malonic_Acid,1:1,4.066,0.203,24.6
Sodium_Propionate,Malonic_Acid,1:2,5.599,0.356,18.1
Sodium_Propionate,Malonic_Acid,1:3,6.87,0.554,14.85
Sodium_Propionate,Malonic_Acid,1:4,7.939,0.792,12.9
Sodium_Propionate,Malonic_Acid,1:5,8.852,1.065,11.6
Sodium_Propionate,Malonic_Acid,2:1,3.173,0.144,31.1
Sodium_Propionate,Malonic_Acid,3:1,2.853,0.127,34.35
Sodium_Propionate,Malonic_Acid,4:1,2.689,0.119,36.3
Sodium_Propionate,Malonic_Acid,5:1,2.589,0.114,37.6
Sodium_Propionate,Sorbitol,1:1,2.102,2549.345,66.15
Sodium_Propionate,Sorbitol,1:2,2.087,577558.973,73.5
Sodium_Propionate,Sorbitol,1:3,2.081,10815931.388,77.18
Sodium_Propionate,Sorbitol,1:4,2.077,66508232.395,79.38
Sodium_Propionate,Sorbitol,1:5,2.075,228218404.345,80.85
Sodium_Propionate,Sorbitol,2:1,2.121,24.145,58.8
Sodium_Propionate,Sorbitol,3:1,2.132,3.44,55.12
Sodium_Propionate,Sorbitol,4:1,2.14,1.244,52.92
Sodium_Propionate,Sorbitol,5:1,2.145,0.679,51.45
Sodium_Propionate,Sucrose,1:1,3.516,71412057.867,62.3
Sodium_Propionate,Sucrose,1:2,3.804,2867902940486.72,68.37
Sodium_Propionate,Sucrose,1:3,3.93,892539049766476,71.4
Sodium_Propionate,Sucrose,1:4,4,3.15162795839661E+016,73.22
Sodium_Propionate,Sucrose,1:5,4.045,3.55144564505992E+017,74.43
Sodium_Propionate,Sucrose,2:1,3.166,7886.801,56.23
Sodium_Propionate,Sucrose,3:1,2.961,169.849,53.2
Sodium_Propionate,Sucrose,4:1,2.827,22.43,51.38
Sodium_Propionate,Sucrose,5:1,2.732,6.624,50.17
Sodium_Propionate,Urea,1:1,2.027,0.194,38.5
Sodium_Propionate,Urea,1:2,1.966,0.348,36.63
Sodium_Propionate,Urea,1:3,1.934,0.506,35.7
Sodium_Propionate,Urea,1:4,1.913,0.652,35.14
Sodium_Propionate,Urea,1:5,1.899,0.782,34.77
Sodium_Propionate,Urea,2:1,2.082,0.131,40.37
Sodium_Propionate,Urea,3:1,2.107,0.115,41.3
Sodium_Propionate,Urea,4:1,2.122,0.109,41.86
Sodium_Propionate,Urea,5:1,2.132,0.105,42.23
Thymol,Dodecanol,1:1,0.918,2156.108,183.15
Thymol,Dodecanol,1:2,0.89,2334.117,195.63
Thymol,Dodecanol,1:3,0.878,2450.844,201.87
Thymol,Dodecanol,1:4,0.87,2530.288,205.62
Thymol,Dodecanol,1:5,0.866,2587.341,208.12
Thymol,Dodecanol,2:1,0.95,2049.343,170.67
Thymol,Dodecanol,3:1,0.968,2023.331,164.42
Thymol,Dodecanol,4:1,0.979,2017.085,160.68
Thymol,Dodecanol,5:1,0.987,2017.058,158.18
Thymol,Lauric_Acid,1:1,1.047,94.246,167.35
Thymol,Lauric_Acid,1:2,1.051,56.538,174.57
Thymol,Lauric_Acid,1:3,1.053,47.422,178.17
Thymol,Lauric_Acid,1:4,1.054,43.696,180.34
Thymol,Lauric_Acid,1:5,1.055,41.769,181.78
Thymol,Lauric_Acid,2:1,1.042,198.985,160.13
Thymol,Lauric_Acid,3:1,1.039,319.161,156.52
Thymol,Lauric_Acid,4:1,1.037,438.538,154.36
Thymol,Lauric_Acid,5:1,1.036,550.174,152.92
Thymol,Octanoic_Acid,1:1,1.088,27.498,135.15
Thymol,Octanoic_Acid,1:2,1.11,9.408,131.63
Thymol,Octanoic_Acid,1:3,1.121,5.947,129.87
Thymol,Octanoic_Acid,1:4,1.128,4.635,128.82
Thymol,Octanoic_Acid,1:5,1.133,3.969,128.12
Thymol,Octanoic_Acid,2:1,1.068,97.529,138.67
Thymol,Octanoic_Acid,3:1,1.058,196.609,140.42
Thymol,Octanoic_Acid,4:1,1.052,305.717,141.48
Thymol,Octanoic_Acid,5:1,1.049,413.809,142.18
